category,sub category,title,description,weight,calories,price,image,chefSpecial,vegan,allergens
Rice,,Chicken Dum Biryani,"Awadhi preparation of long grain Basmati rice, layered with choicest cuts of chicken, served with raita",180g,178kcal,28,/img/food-menu/dum-chicken-parda-biryani.jpg,FALSE,FALSE,Dairy
Rice,,Parda Goat Dum Biryani,"Awadhi preparation of long grain Basmati rice, layered with choicest cuts of goat, served with raita",180g,178kcal,32,/img/food-menu/dum-mutton-parda-biryani.jpg,TRUE,FALSE,Dairy
Breads,,Truffle Chur Chur Naan,,60g,180kcal,10,/img/food-menu/chur-chur-naan.jpg,TRUE,TRUE,None
Breads,,Tandoori Roti (Plain),,60g,180kcal,4,/img/food-menu/plain-tandoori-roti.jpg,FALSE,TRUE,None
Breads,,Tandoori Roti (Butter),,60g,224kcal,4,/img/food-menu/butter-tandoori-roti.jpg,FALSE,TRUE,None
Breads,,Missi Roti (Plain),,60gg,150kcal,5,/img/food-menu/missi-roti-plain.jpg,FALSE,TRUE,None
Breads,,Missi Roti (Butter),,60g,194kcal,5,/img/food-menu/missi-roti.jpg,FALSE,TRUE,None
Breads,,Laccha Paratha (Plain | Butter | Pudina),,90g,360kcal,6,/img/food-menu/butter-laccha-paratha.jpg,FALSE,FALSE,None
Breads,,Naan (Plain),,70-90g,275-315kcal,4,/img/food-menu/plain-naan.jpg,FALSE,FALSE,None
Breads,,Naan (Butter),,70-90g,275-315kcal,4,/img/food-menu/butter-naan.jpg,FALSE,FALSE,None
Breads,,Naan (Garlic),,70-90g,275-315kcal,6,/img/food-menu/garlic-naan.jpg,FALSE,FALSE,None
Breads,,Naan (Bullet),,70-90g,275-315kcal,6,/img/food-menu/cheese-naan.jpg,FALSE,FALSE,None
Breads,,Kulcha (Onion),,150g,410kcal,8,/img/food-menu/kulcha-onion.jpg,FALSE,TRUE,None
Breads,,Kulcha (Chilli Cheese),,150g,490kcal,10,/img/food-menu/chicken-cheese-kulcha.jpg,FALSE,TRUE,None
Sides,,Plain Dahi,"Plain yogurt",180g,178kcal,4,/img/food-menu/burrhani-raita.jpg,FALSE,FALSE,Dairy
Sides,,Beet & Boondi Raita,"Beetroot and crispy boondi in spiced yogurt",180g,178kcal,6,/img/food-menu/imag.jpg,FALSE,FALSE,Dairy
Sides,,Kachumber Raita,"Mixed vegetable raita in yogurt",180g,178kcal,6,/img/food-menu/mixed-vegetable-raita.jpg,FALSE,FALSE,Dairy
Sides,,Green Salad,"Fresh chopped vegetables salad",180g,178kcal,6,/img/food-menu/green-salad.jpg,FALSE,TRUE,None
Desserts,,Gulab Jamun,"Deep fried reduced milk spheres, soaked in a cardamom and saffron infused syrup",180g,178kcal,10,/img/food-menu/gulab-jamun.jpg,FALSE,FALSE,Dairy;Gluten
Desserts,,Moong Dal Halwa,"Moong dal lentils cooked in ghee and saffron syrup, garnished with nuts",180g,178kcal,10,/img/food-menu/moong-dal-halwa.jpg,TRUE,FALSE,Dairy;Nuts
Desserts,,Saffron Rasmalai,"Soft, spongy cottage cheese dumplings soaked in fragrant, saffron-infused milk",180g,178kcal,12,/img/food-menu/baileys-rasmalai.jpg,FALSE,FALSE,Dairy
Desserts,,Kesar Pista Kulfi Falooda,"Saffron milk ice-cream, vermicelli, sesame chikki",180g,178kcal,16,/img/food-menu/kulfi-falooda.jpg,TRUE,FALSE,Dairy;Gluten
Desserts,,Rasgulla Tiramisu,"Filter coffee soaked reduced milk spheres layered with cream cheese topped with dark cocoa",180g,178kcal,14,/img/food-menu/imag.jpg,FALSE,FALSE,Dairy
Desserts,,Mango Shahi Tukda,"Ghee fried brioche, mango milk reduction, aam papad",180g,178kcal,16,/img/food-menu/imag.jpg,TRUE,FALSE,Dairy;Gluten
Beverages,,Plain Lassi,"Classic churned yogurt drink",180g,178kcal,5,/img/food-menu/imag.jpg,FALSE,FALSE,Dairy
Beverages,,Salted Lassi,"Yogurt drink with salt and spices",180g,178kcal,5,/img/food-menu/imag.jpg,FALSE,FALSE,Dairy
Beverages,,Mango Lassi,"Sweet mango flavored yogurt drink",180g,178kcal,6,/img/food-menu/imag.jpg,FALSE,FALSE,Dairy
