category,sub category,title,description,price,image
Liquors,Rum,Flor de Cana 7 Year Reserve Rum,Rich and full-bodied aged rum.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Rum,Bumbu The Original Barbados Rum,Smooth rum with tropical notes.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Rum,Sailor Jerry Spiced Rum,Rich spiced rum with a vanilla finish.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Rum,Malibu Coconut Rum,Coconut-flavored rum with a sweet touch.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Rum,Bacardi Gold,Smooth golden rum with a hint of vanilla.,$8.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Rum,Old Monk,A legendary Indian rum known for its rich taste and smooth finish.,$8.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Glenlivet 12,,$17,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Glenlivet 15,,$27,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Glenlivet 18,,$32,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Glenlivet 21,,$55,./assets/img/modal-images/food-menu/glenlivet21.jpg
Liquors,Scotch,Macallan 12 Yr,,$23,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Macallan 18 Yr,,$58,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Glenfiddich 12 Yr,,$23,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,JW Black Label,,$14,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Amrut Single Malt,,$12,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Indri Single Malt,,$12,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,JW Blue Label,,$45,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Highland Park 12,,$12,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Highland Park 18,,$32,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Chivas Regal 12,,$10,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Chivas Regal 18,,$20,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Chivas Regal 21,,$38,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,JW Gold Label Reserve,,$20,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Glenfiddich 14 Year Old,,$25,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Glenfiddich 15 Year Old,,$27,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Scotch,Dalmore 12 Year Single Malt Scotch,,$17,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Tequila,Don Julio 1942,"Rich, smooth, and aged to perfection for a refined taste.",$71,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Tequila,Clase Azul Plata,A crystal-clear tequila with delicate agave flavors.,$60,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Tequila,Clase Azul Reposado,"Aged to perfection, offering smooth oak and caramel notes.",$35,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Tequila,El Jimador Silver,A clean and refreshing silver tequila perfect for mixing.,$7,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Tequila,Patron Silver,A smooth and premium tequila made from the finest blue agave.,$20,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Tequila,1800 Silver,"A smooth, clean tequila with bold agave flavors.",$11,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Tequila,Don Julio Silver,"A premium silver tequila with a clean, refreshing taste.",$18,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Tequila,Casamigos Blanco,"A smooth blanco tequila with a fresh, citrusy flavor.",$18,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Tequila,Casamigos Reposado,Aged for a rich and smooth flavor with subtle oak notes.,$21,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Tito's,Smooth and gluten-free vodka.,$8.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Grey Goose,Premium French vodka.,$12.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Beluga Noble,Ultra-premium vodka with a refined taste.,$13.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Ciroc,Distinctive vodka with fruity undertones.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Absolute,Smooth Swedish vodka.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Amsterdam,Affordable and versatile vodka.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Belvedere Organic Vodka,Certified organic Polish vodka.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Grey Goose VX,Premium vodka with a hint of cognac.,$45.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Ketel One Vodka,Smooth Dutch vodka with a rich heritage.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Liquors,Vodka,Aspen Vodka,Smooth and crisp American vodka.,$10.00,./assets/img/modal-images/food-menu/imag.jpg
Beers (Indian),Beers (Import: India),Arka (India),,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers (Indian),Beers (Import: India),Maharaja IPA,,$10,./assets/img/modal-images/food-menu/imag.jpg
Beers (Indian),Beers (Import: India),Taj Mahal,,$6,./assets/img/modal-images/food-menu/taj-mahal.jpg
Beers (Indian),Beers (Import: India),Taj Mahal 650ML,,$12,./assets/img/modal-images/food-menu/taj-mahal.jpg
Beers,Beers,Miller Lite,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Coors Lite,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Blue Moon,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Two Hearted Ale,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Fat Tire,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Yuengling,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Angry Orchard,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Sam Adams Boston Lager,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Sam Adams Winter Lager,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Half Life,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Red Gate,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Dadgum,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Shiner Light,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Taj Mahal,,$6,./assets/img/modal-images/food-menu/taj-mahal.jpg
Beers,Beers,Shiner Bock,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Dry Hopped,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,50 ft Jackrabbit,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Fire Ant Funeral,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,No Coast IPA,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,German Pilsner,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Hefeweizen,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Dos Equis,,$5,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Modelo Negra,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Modelo,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Modelo Especial,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Peroni,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Stella Artois,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Heineken,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Trinity Cider,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Garage Beer,,$9,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Texas Blood Orange IPA,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Necessary Evil,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,New Belgium 154,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Revolver Brewing,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Yuengling Flight,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,El Chingo,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Pacifico,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Corona,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Corona (Non-Alcoholic),,$5,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Corona Premier,,$6,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Seriously Fun Beer,,$8,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,Flyin Horse Royal 650ML,,$12,./assets/img/modal-images/food-menu/imag.jpg
Beers,Beers,DOS XX,,$6,./assets/img/modal-images/food-menu/imag.jpg
s,Beers,Seriously Fun Beer,,8,/img/food-menu/imag.jpg
Beers,Beers,Flyin Horse Royal 650ML,,12,/img/food-menu/imag.jpg
Beers,Beers,DOS XX,,6,/img/food-menu/imag.jpg
